"850.00,850.00,1020000.00,4393.00,2271.00,14573.00,0.00,11.00,11585.00,9035.00,1SQ,21570,Star Marianas Air Inc.,01169,D,1SQ,Star Marianas Air Inc.,1,6,14955,1495503,34955,SPN,""Saipan, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,15215,1521503,35215,TIQ,""Tinian, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,0,079,1,2023,2,6,1,F,DU"
"852.00,852.00,1022400.00,4466.00,2407.00,14736.00,0.00,11.00,11580.00,9024.00,1SQ,21570,Star Marianas Air Inc.,01169,D,1SQ,Star Marianas Air Inc.,1,6,14955,1495503,34955,SPN,""Saipan, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,15215,1521503,35215,TIQ,""Tinian, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,0,079,1,2023,3,7,1,F,DU"
"853.00,853.00,1023600.00,4408.00,2481.00,2175.00,0.00,11.00,10682.00,8123.00,1SQ,21570,Star Marianas Air Inc.,01169,D,1SQ,Star Marianas Air Inc.,1,6,15215,1521503,35215,TIQ,""Tinian, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,14955,1495503,34955,SPN,""Saipan, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,0,079,1,2023,2,6,1,F,DU"
"855.00,855.00,1026000.00,4481.00,2344.00,2380.00,0.00,11.00,10139.00,7574.00,1SQ,21570,Star Marianas Air Inc.,01169,D,1SQ,Star Marianas Air Inc.,1,6,15215,1521503,35215,TIQ,""Tinian, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,14955,1495503,34955,SPN,""Saipan, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,0,079,1,2023,3,7,1,F,DU"
"860.00,860.00,1032000.00,4483.00,2348.00,14473.00,0.00,11.00,11790.00,9210.00,1SQ,21570,Star Marianas Air Inc.,01169,D,1SQ,Star Marianas Air Inc.,1,6,14955,1495503,34955,SPN,""Saipan, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,15215,1521503,35215,TIQ,""Tinian, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,0,079,1,2023,3,8,1,F,DU"
"870.00,870.00,1044000.00,4536.00,2223.00,2654.00,0.00,11.00,10228.00,7618.00,1SQ,21570,Star Marianas Air Inc.,01169,D,1SQ,Star Marianas Air Inc.,1,6,15215,1521503,35215,TIQ,""Tinian, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,14955,1495503,34955,SPN,""Saipan, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,0,079,1,2023,3,8,1,F,DU"
"875.00,875.00,1050000.00,4547.00,2382.00,14878.00,0.00,11.00,11890.00,9265.00,1SQ,21570,Star Marianas Air Inc.,01169,D,1SQ,Star Marianas Air Inc.,1,6,14955,1495503,34955,SPN,""Saipan, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,15215,1521503,35215,TIQ,""Tinian, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,0,079,1,2023,1,3,1,F,DU"
"875.00,875.00,1050000.00,4547.00,2430.00,2394.00,0.00,11.00,10921.00,8296.00,1SQ,21570,Star Marianas Air Inc.,01169,D,1SQ,Star Marianas Air Inc.,1,6,15215,1521503,35215,TIQ,""Tinian, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,14955,1495503,34955,SPN,""Saipan, TT"",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,0,079,1,2023,1,3,1,F,DU"
"0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,DL,19790,Delta Air Lines Inc.,01260,D,DL,Delta Air Lines Inc.,3,3,12954,1295407,32575,LGB,""Long Beach, CA"",CA,06,California,US,United States,91,12892,1289208,32575,LAX,""Los Angeles, CA"",CA,06,California,US,United States,91,6,622,1,2023,4,10,1,L,DU"
"0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,NEW,20273,New England Airlines Inc.,06924,D,NEW,New England Airlines Inc.,1,6,10613,1061302,30613,BID,""Block Island, RI"",RI,44,Rhode Island,US,United States,15,15855,1585502,35855,WST,""Westerly, RI"",RI,44,Rhode Island,US,United States,15,0,079,1,2023,1,1,1,F,DU"
