id,X,Y,x_light,y_light,elevation,azimuth
259,0.42433,0.73336,-0.1024,-0.128,57.9164,59.9459
260,0.31462,0.73334,-0.0768,-0.128,52.9377,66.7795
261,0.20684,0.74072,-0.0512,-0.128,50.2693,74.398
262,0.0935,0.74399,-0.0256,-0.128,48.5767,82.837
263,-0.01525,0.74779,0.0,-0.128,48.4127,91.1683
264,-0.13126,0.74595,0.0256,-0.128,49.2364,99.9798
265,-0.24364,0.7496,0.0512,-0.128,52.0177,108.0055
266,-0.35359,0.74913,0.0768,-0.128,55.9332,115.2674
267,NaN,NaN,0.1024,-0.128,NaN,NaN
268,NaN,NaN,0.128,-0.128,NaN,NaN
269,NaN,NaN,0.1536,-0.128,NaN,NaN
270,NaN,NaN,0.1792,-0.128,NaN,NaN
271,NaN,NaN,0.2048,-0.128,NaN,NaN
272,NaN,NaN,-0.2048,-0.1536,NaN,NaN
273,NaN,NaN,-0.1792,-0.1536,NaN,NaN
274,NaN,NaN,-0.1536,-0.1536,NaN,NaN
275,NaN,NaN,-0.128,-0.1536,NaN,NaN
276,NaN,NaN,-0.1024,-0.1536,NaN,NaN
277,NaN,NaN,-0.0768,-0.1536,NaN,NaN
278,NaN,NaN,-0.0512,-0.1536,NaN,NaN
279,NaN,NaN,-0.0256,-0.1536,NaN,NaN
280,NaN,NaN,0.0,-0.1536,NaN,NaN
281,NaN,NaN,0.0256,-0.1536,NaN,NaN
282,NaN,NaN,0.0512,-0.1536,NaN,NaN
283,NaN,NaN,0.0768,-0.1536,NaN,NaN
284,NaN,NaN,0.1024,-0.1536,NaN,NaN
285,NaN,NaN,0.128,-0.1536,NaN,NaN
286,NaN,NaN,0.1536,-0.1536,NaN,NaN
287,NaN,NaN,0.1792,-0.1536,NaN,NaN
288,NaN,NaN,0.2048,-0.1536,NaN,NaN
