Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
148,0.10742,0.40891,-0.0256534,-0.0509149,25.0105,75.2811,253.578,238.359,266.672,278.047,1036.656,24.461,22.993,25.724,26.822,22.993
149,0.46742,0.39164,-0.102272,-0.0517263,37.5755,39.9588,233.906,186.453,211.5,254.719,886.578,26.383,21.031,23.856,28.731,21.031
150,0.57615,0.37969,-0.128071,-0.0508349,43.6309,33.3854,217.062,163.516,186.094,235.25,801.922,27.068,20.391,23.206,29.336,20.391
151,-0.84067,0.171781,0.179176,-0.000551668,59.0973,168.451,110.859,158.062,159.219,110.0,538.14,20.6,29.372,29.587,20.441,20.441
152,-0.513259,0.1573,0.101858,-0.00029754,32.4676,162.961,213.297,259.188,261.578,211.188,945.251,22.565,27.42,27.673,22.342,22.342
153,0.65736,0.48643,-0.154082,-0.0776187,54.8615,36.5005,168.594,118.281,144.812,190.344,622.031,27.104,19.015,23.281,30.6,19.015
154,-0.0175299,0.157119,0.000204335,-0.000367802,9.0963,96.3662,288.047,285.25,288.375,285.344,1147.016,25.113,24.869,25.141,24.877,24.869
155,0.597359,0.15038,-0.128403,-0.000406842,38.0244,14.1301,251.281,190.203,194.75,247.094,883.328,28.447,21.533,22.047,27.973,21.533
156,-0.627861,0.0442501,0.127939,0.0253333,39.0072,175.969,193.609,246.859,237.688,181.016,859.172,22.534,28.732,27.665,21.069,21.069
157,-0.0153403,0.0264605,-0.000373224,0.0256725,1.7527,120.103,302.438,298.719,287.172,283.891,1172.22,25.8,25.483,24.498,24.218,24.218
158,0.371841,0.0275503,-0.0767572,0.0258675,21.8921,4.2374,298.016,251.938,243.0,279.219,1072.173,27.796,23.498,22.664,26.042,22.664
159,-0.84026,-0.0385308,0.178902,0.0511889,57.261,182.626,125.203,175.609,161.75,109.766,572.328,21.876,30.683,28.262,19.179,19.179
160,0.54485,0.602549,-0.128276,-0.102019,54.3271,47.8788,163.516,120.766,155.203,193.672,633.157,25.826,19.074,24.513,30.588,19.074
161,0.44203,0.61565,-0.102589,-0.102807,49.2796,54.3221,179.344,141.234,179.422,214.625,714.625,25.096,19.763,25.107,30.033,19.763
162,-0.0176399,0.408651,3.00057e-05,-0.0506496,24.144,92.4717,248.359,246.0,274.75,272.359,1041.468,23.847,23.621,26.381,26.151,23.621
163,-0.14533,0.40835,0.025771,-0.0511145,25.6861,109.59,237.312,248.25,276.656,261.219,1023.437,23.188,24.257,27.032,25.524,23.188
164,-0.73051,0.16328,0.153322,-0.00093582,48.4637,167.401,152.844,205.797,208.219,151.094,717.954,21.289,28.664,29.002,21.045,21.045
165,-0.62684,0.15809,0.128218,9.28178e-05,40.2758,165.845,184.594,236.297,238.516,182.297,841.704,21.931,28.074,28.337,21.658,21.658
166,0.74056,0.48424,-0.178646,-0.0773118,62.2301,33.18,135.969,89.3906,111.219,151.906,488.485,27.835,18.3,22.768,31.097,18.3
167,0.56048,0.493001,-0.128396,-0.0763692,48.2838,41.335,192.766,143.984,173.797,218.641,729.188,26.436,19.746,23.834,29.984,19.746
168,0.11548,0.15057,-0.0258811,6.84322e-05,10.9385,52.5135,294.625,276.234,279.812,290.969,1141.64,25.807,24.196,24.51,25.487,24.196
169,0.48646,0.15179,-0.101398,-6.39734e-05,30.6366,17.3295,271.125,217.328,221.625,266.891,976.969,27.752,22.245,22.685,27.318,22.245
170,-0.516429,0.0376696,0.102237,0.025596,31.1849,175.828,222.453,269.953,259.25,208.578,960.234,23.167,28.113,26.999,21.722,21.722
171,-0.149669,0.0265799,0.0250492,0.0254316,8.7435,169.93,287.656,298.891,287.438,270.016,1144.001,25.145,26.127,25.126,23.603,23.603
172,0.113261,0.0250601,-0.0256779,0.0256236,6.6613,12.4763,304.625,285.766,275.094,285.797,1151.282,26.46,24.822,23.895,24.824,23.895
173,0.24639,0.0255002,-0.0518329,0.025847,14.3418,5.9088,305.203,271.531,261.531,286.141,1124.406,27.143,24.149,23.259,25.448,23.259
