Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
576,0.497007,-0.613951,-0.113959,0.184534,52.1767,308.991,215.656,170.641,118.312,147.625,652.234,33.064,26.163,18.14,22.634,18.14
577,0.789365,0.0877072,-0.179807,0.0142521,52.5819,6.34019,196.391,133.859,133.203,187.766,651.219,30.157,20.555,20.454,28.833,20.454
578,0.0877072,0.789365,-0.0241483,-0.138405,52.5819,83.6598,143.516,134.672,180.406,187.156,645.75,22.225,20.855,27.937,28.983,20.855
579,-0.0877072,0.789365,0.0162833,-0.137321,52.5819,96.3402,137.578,141.391,187.25,180.531,646.75,21.272,21.862,28.952,27.914,21.272
580,0.789365,-0.0877071,-0.179586,0.0576014,52.5819,353.66,205.109,140.875,127.516,180.781,654.281,31.349,21.531,19.489,27.63,19.489
581,-0.789365,0.0877073,0.167603,0.0182188,52.5819,173.66,138.0,190.344,186.172,130.422,644.938,21.397,29.514,28.867,20.222,20.222
582,-0.789365,-0.0877073,0.166598,0.0595943,52.5819,186.34,144.828,197.578,179.406,124.484,646.296,22.409,30.571,27.759,19.261,19.261
583,-0.0877076,-0.789365,0.0178533,0.22325,52.5819,263.66,196.547,199.031,130.125,121.062,646.765,30.389,30.773,20.119,18.718,18.718
584,0.0877068,-0.789365,-0.0238471,0.223842,52.5819,276.34,203.594,190.531,123.828,126.125,644.078,31.61,29.582,19.226,19.582,19.226
585,0.730893,0.321593,-0.168999,-0.0401192,52.9886,23.7495,181.922,125.188,140.688,192.094,639.892,28.43,19.564,21.986,30.02,19.564
586,0.321593,0.730893,-0.0783512,-0.127598,52.9886,66.2505,151.672,125.125,167.297,190.469,634.563,23.902,19.718,26.364,30.016,19.718
587,-0.321593,0.730893,0.0679184,-0.125334,52.9886,113.749,127.688,148.188,188.641,166.297,630.814,20.242,23.492,29.904,26.362,20.242
588,-0.730893,0.321593,0.155294,-0.0367296,52.9886,156.251,127.172,173.812,187.172,136.766,624.922,20.35,27.813,29.951,21.885,20.35
589,-0.730893,-0.321593,0.155133,0.116725,52.9886,203.749,150.375,198.078,162.359,113.25,624.062,24.096,31.74,26.016,18.147,18.147
590,-0.321593,-0.730893,0.06967,0.211055,52.9886,246.251,179.156,200.141,134.875,112.219,626.391,28.601,31.951,21.532,17.915,17.915
591,0.321593,-0.730893,-0.0758863,0.212001,52.9886,293.749,206.75,175.438,115.969,132.516,630.673,32.782,27.818,18.388,21.012,18.388
592,0.730893,-0.321593,-0.167181,0.114738,52.9886,336.25,206.156,146.562,116.953,163.156,632.827,32.577,23.16,18.481,25.782,18.481
593,0.789365,0.146179,-0.181055,0.00019995,53.397,10.4915,186.375,126.266,129.719,182.797,625.157,29.813,20.197,20.75,29.24,20.197
594,0.146179,0.789365,-0.0377781,-0.138218,53.397,79.5085,140.375,127.484,171.594,182.188,621.641,22.581,20.508,27.603,29.308,20.508
595,-0.146179,0.789365,0.02957,-0.136887,53.397,100.491,130.0,138.172,181.719,171.516,621.407,20.92,22.235,29.243,27.601,20.92
596,0.789365,-0.146179,-0.180597,0.0728487,53.397,349.509,197.156,135.469,118.578,168.875,620.078,31.795,21.847,19.123,27.234,19.123
597,0.672422,0.438536,-0.156121,-0.0659999,53.397,33.1113,169.688,119.203,141.812,187.906,618.609,27.431,19.27,22.924,30.376,19.27
598,0.438536,0.672422,-0.10401,-0.115919,53.397,56.8887,156.516,121.859,160.266,191.109,629.75,24.854,19.35,25.449,30.347,19.35
599,-0.438536,0.672422,0.0945734,-0.112637,53.397,123.111,124.734,153.891,189.797,159.562,627.984,19.863,24.506,30.223,25.409,19.863
600,-0.672422,0.438536,0.142571,-0.0621952,53.397,146.889,124.953,168.016,188.922,142.906,624.797,19.999,26.891,30.237,22.872,19.999
601,-0.789365,0.146179,0.168749,0.00435037,53.397,169.509,129.141,179.281,179.625,126.125,614.172,21.027,29.191,29.247,20.536,20.536
602,-0.789365,-0.146179,0.168278,0.0743696,53.397,190.491,138.891,189.312,167.578,115.188,610.969,22.733,30.986,27.428,18.853,18.853
603,-0.672422,-0.438536,0.142959,0.143265,53.397,213.111,153.562,196.812,153.469,109.094,612.937,25.053,32.11,25.038,17.799,17.799
604,-0.438536,-0.672422,0.094467,0.198629,53.397,236.889,169.891,199.062,137.828,108.844,615.625,27.597,32.335,22.388,17.68,17.68
605,-0.146179,-0.789365,0.0311573,0.224685,53.397,259.509,186.672,194.109,126.5,114.562,621.843,30.019,31.215,20.343,18.423,18.423
606,0.146178,-0.789365,-0.0368438,0.226054,53.397,280.491,199.609,182.297,117.719,123.359,622.984,32.041,29.262,18.896,19.801,18.896
607,0.438536,-0.672422,-0.101703,0.200141,53.397,303.111,206.109,167.078,112.25,136.469,621.906,33.142,26.865,18.049,21.944,18.049
608,0.672422,-0.438536,-0.154765,0.143501,53.397,326.889,206.188,150.719,113.094,154.234,624.235,33.031,24.145,18.117,24.708,18.117
609,0.789365,0.20465,-0.182131,-0.013797,54.6331,14.5345,179.531,120.906,128.25,180.594,609.281,29.466,19.844,21.049,29.641,19.844
610,0.20465,0.789365,-0.0511776,-0.139028,54.6331,75.4655,139.594,122.875,166.375,180.859,609.703,22.895,20.153,27.288,29.663,20.153
611,-0.20465,0.789365,0.0429867,-0.135589,54.6331,104.534,125.281,137.547,179.578,165.703,608.109,20.602,22.619,29.531,27.249,20.602
612,0.789365,-0.20465,-0.181802,0.0878689,54.6331,345.466,198.453,136.5,115.422,165.422,615.797,32.227,22.166,18.744,26.863,18.744
613,-0.789365,0.20465,0.168768,-0.00870414,54.6331,165.466,125.953,175.672,179.953,126.969,608.547,20.697,28.867,29.571,20.864,20.697
614,-0.789365,-0.20465,0.167738,0.08873,54.6331,194.534,140.359,190.359,164.359,112.453,607.53,23.103,31.333,27.054,18.51,18.51
615,-0.20465,-0.789365,0.0454534,0.22569,54.6331,255.466,182.125,194.344,126.766,111.062,614.297,29.648,31.637,20.636,18.08,18.08
616,0.20465,-0.789365,-0.0511574,0.227068,54.6331,284.534,200.094,178.438,114.266,124.172,616.97,32.432,28.922,18.521,20.126,18.521
617,0.730893,0.380065,-0.1715,-0.0537984,55.4675,27.4744,170.703,116.062,135.031,184.344,606.14,28.162,19.148,22.277,30.413,19.148
618,0.380065,0.730893,-0.0909607,-0.127428,55.4675,62.5256,146.859,117.094,157.891,183.156,605.0,24.274,19.354,26.098,30.274,19.354
619,-0.380065,0.730893,0.0821497,-0.124135,55.4675,117.474,119.516,143.531,181.469,156.141,600.657,19.898,23.896,30.212,25.995,19.898
620,-0.730893,0.380065,0.15581,-0.0490972,55.4675,152.526,119.609,164.703,180.875,132.797,597.984,20.002,27.543,30.247,22.207,20.002
621,-0.730893,-0.380065,0.155403,0.131285,55.4675,207.474,145.75,191.391,152.938,105.953,596.032,24.453,32.111,25.659,17.776,17.776
622,-0.380065,-0.730893,0.0826573,0.213647,55.4675,242.526,169.766,193.75,130.531,105.0,599.047,28.339,32.343,21.79,17.528,17.528
623,0.380065,-0.730893,-0.0888277,0.216177,55.4675,297.474,199.75,166.281,107.953,127.953,601.937,33.185,27.624,17.934,21.257,17.934
624,0.730893,-0.380064,-0.169287,0.131011,55.4675,332.526,199.562,141.641,108.969,153.188,603.36,33.075,23.475,18.06,25.389,18.06
625,0.61395,0.555479,-0.144935,-0.0922457,55.8882,42.1376,158.297,112.781,142.562,183.609,597.249,26.504,18.883,23.87,30.742,18.883
626,0.555479,0.61395,-0.131479,-0.104947,55.8882,47.8624,154.156,112.562,146.25,183.016,595.984,25.866,18.887,24.539,30.708,18.887
627,-0.555479,0.61395,0.119316,-0.0996413,55.8882,132.138,115.859,150.844,180.719,145.016,592.438,19.556,25.462,30.504,24.478,19.556
628,0.61395,-0.555479,-0.142005,0.174445,55.8882,317.862,200.203,150.516,105.703,140.828,597.25,33.521,25.202,17.698,23.579,17.698
629,-0.61395,0.555479,0.130956,-0.0869255,55.8882,137.862,116.109,154.125,180.594,141.094,591.922,19.616,26.038,30.51,23.837,19.616
630,0.555479,-0.613951,-0.128862,0.188712,55.8882,312.138,199.719,154.062,105.203,136.25,595.234,33.553,25.883,17.674,22.89,17.674
631,-0.613951,-0.555479,0.131608,0.172756,55.8882,222.138,153.656,191.922,141.531,102.234,589.343,26.072,32.565,24.015,17.347,17.347
632,-0.555479,-0.61395,0.11871,0.185622,55.8882,227.862,157.562,192.391,137.812,102.562,590.327,26.691,32.591,23.345,17.374,17.374
633,0.789365,0.263122,-0.184108,-0.0269368,56.3113,18.4349,172.141,114.875,125.781,177.125,589.922,29.18,19.473,21.322,30.025,19.473
634,0.263122,0.789365,-0.0658021,-0.139258,56.3113,71.565,137.156,115.875,158.75,176.156,587.937,23.328,19.709,27.001,29.962,19.709
635,-0.263122,0.789365,0.0564396,-0.135893,56.3113,108.435,118.594,134.266,174.875,157.516,585.251,20.264,22.942,29.88,26.914,20.264
636,0.789365,-0.263122,-0.183035,0.103777,56.3113,341.565,192.766,132.547,108.234,155.906,589.453,32.703,22.486,18.362,26.449,18.362
637,-0.789365,0.263122,0.169276,-0.0219647,56.3113,161.565,117.766,165.75,173.203,123.047,579.766,20.313,28.589,29.875,21.224,20.313
638,-0.789365,-0.263122,0.168106,0.104339,56.3113,198.435,135.656,183.109,154.062,104.469,577.296,23.499,31.718,26.687,18.096,18.096
639,-0.263121,-0.789365,0.0576606,0.227591,56.3113,251.565,169.828,185.281,120.672,102.766,578.547,29.354,32.025,20.858,17.763,17.763
640,0.263121,-0.789365,-0.0635391,0.229845,56.3113,288.435,192.547,167.5,106.656,118.812,585.515,32.885,28.607,18.216,20.292,18.216
641,0.672422,0.497008,-0.158653,-0.0790015,56.7371,36.4692,156.953,108.812,133.969,177.391,577.125,27.196,18.854,23.213,30.737,18.854
642,0.497008,0.672422,-0.118342,-0.117048,56.7371,53.5308,146.234,109.656,145.859,177.875,579.624,25.229,18.918,25.164,30.688,18.918
643,-0.672422,0.497008,0.144133,-0.0739016,56.7371,143.531,111.953,152.188,174.141,132.156,570.438,19.626,26.679,30.528,23.167,19.626
644,0.497008,-0.672422,-0.115568,0.204152,56.7371,306.469,193.203,153.0,101.281,127.531,575.015,33.6,26.608,17.614,22.179,17.614
645,-0.497007,0.672422,0.106951,-0.111324,56.7371,126.469,111.766,142.25,174.156,143.5,571.672,19.551,24.883,30.464,25.102,19.551
646,-0.672422,-0.497008,0.142637,0.16078,56.7371,216.469,144.969,184.938,139.812,98.7031,568.422,25.504,32.535,24.597,17.364,17.364
647,-0.497008,-0.672422,0.107592,0.201181,56.7371,233.531,156.219,186.906,129.484,98.7031,571.312,27.344,32.715,22.664,17.277,17.277
648,0.672422,-0.497008,-0.15565,0.160968,56.7371,323.531,193.141,141.109,101.984,139.578,575.812,33.542,24.506,17.711,24.24,17.711
649,0.847836,0.0292357,-0.197633,0.0296985,58.0316,1.97493,172.203,113.297,109.172,159.859,554.531,31.054,20.431,19.687,28.828,19.687
