Idx,X,Y,X_interp,Y_interp,azimuth,elevation,azimuth_interp,elevation_interp,x_light,y_light
254,0.334565,0.579484,0.3377,0.577,60,42,59.6609,41.9559,-0.0770524,-0.092926
255,-0.334565,0.579484,-0.3278,0.5803,120,42,119.461,41.7963,0.0680063,-0.0912874
256,-0.669131,-5.84973e-08,-0.6734,0.0054,180,42,179.541,42.3317,0.137941,0.0357668
257,-0.334565,-0.579484,-0.339,-0.5818,240,42,239.772,42.3268,0.0695633,0.165315
258,0.334565,-0.579484,0.3372,-0.5722,300,42,300.511,41.6184,-0.075294,0.165283
259,0.681998,4.22884e-17,0.6802,-0.0039,3.55271e-15,43,359.671,42.8601,-0.148882,0.0339522
260,0.340999,0.590628,0.3458,0.586,60,43,59.455,42.8766,-0.0787309,-0.0950656
261,-0.340999,0.590628,-0.3299,0.5957,120,43,118.978,42.9179,0.0696201,-0.0946538
262,-0.681998,-5.96222e-08,-0.6792,0.0042,180,43,179.646,42.7822,0.141132,0.0353734
263,-0.340999,-0.590628,-0.3388,-0.5882,240,43,240.058,42.7497,0.0706925,0.167966
264,0.340999,-0.590628,0.3413,-0.5899,300,43,300.052,42.9624,-0.0774146,0.169291
265,0.694658,4.30734e-17,0.6961,-0.0003,3.55271e-15,44,359.975,44.1149,-0.152473,0.0339425
266,0.347329,0.601592,0.3507,0.6056,60,44,59.9251,44.4122,-0.0810748,-0.0983831
267,-0.347329,0.601592,-0.3436,0.6016,120,44,119.733,43.8528,0.0709527,-0.0958893
268,-0.694658,-6.0729e-08,-0.691,0.0067,180,44,179.444,43.7119,0.143891,0.0360315
269,-0.347329,-0.601592,-0.3453,-0.6027,240,44,240.191,43.9959,0.0723388,0.171783
270,0.347329,-0.601592,0.3438,-0.6006,300,44,299.788,43.7918,-0.0787531,0.172908
271,0.707107,4.38453e-17,0.7075,0.0011,3.55271e-15,45,0.0890817,45.0319,-0.155115,0.0336521
272,0.353553,0.612372,0.3482,0.6174,60,45,60.578,45.139,-0.0823226,-0.100793
273,-0.353553,0.612372,-0.3489,0.6101,120,45,119.764,44.6535,0.0727537,-0.0986988
274,-0.707107,-6.18172e-08,-0.7094,-0.0005,180,45,180.04,45.1861,0.147317,0.0358749
275,-0.353553,-0.612373,-0.352,-0.6069,240,45,239.886,44.5549,0.0741855,0.175531
276,0.353553,-0.612372,0.3565,-0.6073,300,45,300.414,44.7654,-0.0804807,0.175632
277,0.71934,4.46038e-17,0.7221,0.0044,3.55271e-15,46,0.349118,46.2292,-0.158345,0.0336429
278,0.35967,0.622967,0.365,0.6246,60,46,59.6991,46.3384,-0.0841257,-0.103305
279,-0.35967,0.622967,-0.3548,0.6315,120,46,119.329,46.4144,0.074698,-0.10122
280,-0.71934,-6.28867e-08,-0.7111,0.0078,180,46,179.372,45.328,0.149096,0.0362986
281,-0.35967,-0.622967,-0.3574,-0.6295,240,46,240.414,46.3759,0.075994,0.178693
282,0.35967,-0.622967,0.3643,-0.6215,300,46,300.377,46.0875,-0.0827852,0.179212
283,0.731354,4.53487e-17,0.7292,0.0011,3.55271e-15,47,0.0864308,46.8194,-0.162298,0.0337836
284,0.365677,0.633371,0.3698,0.6322,60,47,59.6749,47.0891,-0.0861624,-0.106091
285,-0.365677,0.633371,-0.3572,0.6387,120,47,119.217,47.0374,0.0759279,-0.104063
286,-0.731354,-6.3937e-08,-0.7317,0.0046,180,47,179.64,47.0303,0.152573,0.0369996
287,-0.365677,-0.633371,-0.3664,-0.6364,240,47,240.069,47.2514,0.0777703,0.181983
288,0.365677,-0.633371,0.3677,-0.6326,300,47,300.167,47.0292,-0.0840627,0.182254
289,0.743145,4.60798e-17,0.7411,-0.0014,3.55271e-15,48,359.892,47.8253,-0.165763,0.0339967
290,0.371572,0.643582,0.3754,0.6543,60,48,60.1553,48.968,-0.0877305,-0.108913
291,-0.371572,0.643582,-0.3636,0.6489,120,48,119.263,48.0583,0.0776801,-0.106048
292,-0.743145,-6.49678e-08,-0.7453,0.0032,180,48,179.754,48.1855,0.155089,0.0373255
293,-0.371572,-0.643582,-0.3657,-0.6425,240,48,240.352,47.6706,0.0791626,0.18564
294,0.371572,-0.643582,0.3747,-0.6337,300,48,300.595,47.4079,-0.0855527,0.185793
295,0.75471,4.67969e-17,0.7552,0.007,3.55271e-15,49,0.531063,49.0457,-0.168808,0.0342202
296,0.377355,0.653598,0.3733,0.6539,60,49,60.2787,48.8468,-0.0882193,-0.110922
297,-0.377355,0.653598,-0.3777,0.6553,120,49,119.958,49.1441,0.0798376,-0.108287
298,-0.75471,-6.59788e-08,-0.7503,0.0001,180,49,179.992,48.6164,0.15866,0.0378247
299,-0.377355,-0.653598,-0.3762,-0.6502,240,49,239.947,48.6936,0.0807423,0.188075
300,0.377355,-0.653598,0.3784,-0.6457,300,49,300.372,48.4527,-0.0870671,0.188821
301,0.766044,4.74998e-17,0.7694,-0.0021,3.55271e-15,50,359.844,50.3003,-0.172855,0.0346694
302,0.383022,0.663414,0.3835,0.6689,60,50,60.1731,50.4472,-0.0911013,-0.114315
303,-0.383022,0.663414,-0.3804,0.6619,120,50,119.886,49.767,0.0810383,-0.110659
304,-0.766044,-6.69697e-08,-0.7764,0.005,180,50,179.631,50.9336,0.161946,0.0374351
305,-0.383022,-0.663414,-0.3802,-0.6648,240,50,240.235,49.9818,0.0818711,0.191654
306,0.383022,-0.663414,0.3763,-0.6647,300,50,299.515,49.8025,-0.0887619,0.193398
307,0.777146,4.81881e-17,0.7766,0.0057,3.55271e-15,51,0.420525,50.9522,-0.17587,0.0341625
308,0.388573,0.673028,0.3938,0.6688,60,51,59.5098,50.9072,-0.0925793,-0.11543
309,-0.388573,0.673028,-0.3892,0.6762,120,51,119.923,51.2795,0.082585,-0.113618
310,-0.777146,-6.79403e-08,-0.7773,0.0072,180,51,179.469,51.0171,0.164786,0.0383985
311,-0.388573,-0.673028,-0.3882,-0.6784,240,51,240.221,51.4089,0.0831643,0.195309
312,0.388573,-0.673028,0.386,-0.67,300,51,299.947,50.6455,-0.0897359,0.196648
313,0.788011,4.88618e-17,0.7865,0.0016,3.55271e-15,52,0.116558,51.8598,-0.179214,0.0350806
314,0.394005,0.682437,0.3867,0.6802,60,52,60.3814,51.4843,-0.09351,-0.117623
315,-0.394005,0.682437,-0.3945,0.6869,120,52,119.87,52.3845,0.0835901,-0.115466
316,-0.788011,-6.88901e-08,-0.798,0.0054,180,52,179.612,52.9413,0.167138,0.0397004
317,-0.394005,-0.682437,-0.3933,-0.6829,240,52,240.061,52.0045,0.0846698,0.199152
318,0.394005,-0.682437,0.3909,-0.6842,300,52,299.74,51.9983,-0.0912831,0.20022
319,0.798636,4.95206e-17,0.8,0.0002,3.55271e-15,53,0.0143239,53.1301,-0.182089,0.0354998
320,0.399318,0.691639,0.402,0.7024,60,53,60.2165,54.0278,-0.095856,-0.120282
321,-0.399318,0.691639,-0.3967,0.6933,120,53,119.778,53.0129,0.085904,-0.117372
322,-0.798636,-6.98189e-08,-0.8017,0.0072,180,53,179.485,53.2958,0.169937,0.039224
323,-0.399318,-0.691639,-0.3997,-0.6902,240,53,239.925,52.8998,0.0870348,0.201431
324,0.399318,-0.691639,0.3977,-0.6913,300,53,299.911,52.8953,-0.0928644,0.203586
325,0.809017,5.01644e-17,0.8099,-0.0033,3.55271e-15,54,359.767,54.0868,-0.185487,0.0357531
326,0.404508,0.700629,0.4011,0.7055,60,54,60.3803,54.2475,-0.0965149,-0.122259
327,-0.404509,0.700629,-0.4096,0.6965,120,54,120.459,53.9022,0.087641,-0.118872
328,-0.809017,-7.07265e-08,-0.825,0.0055,180,54,179.618,55.5904,0.172488,0.0393132
329,-0.404508,-0.700629,-0.4064,-0.7011,240,54,239.901,54.1323,0.088177,0.205085
330,0.404508,-0.700629,0.4035,-0.7057,300,54,299.76,54.3814,-0.0948321,0.206741
331,0.819152,5.07928e-17,0.8231,0.0028,3.55271e-15,55,0.194907,55.3968,-0.188663,0.0365435
332,0.409576,0.709406,0.4152,0.7078,60,55,59.6038,55.1441,-0.0981506,-0.123773
333,-0.409576,0.709406,-0.405,0.7099,120,55,119.705,54.8156,0.0875738,-0.120479
334,-0.819152,-7.16125e-08,-0.83,0.0051,180,55,179.648,56.1003,0.174693,0.0399543
335,-0.409576,-0.709406,-0.4174,-0.7121,240,55,239.623,55.6305,0.0906649,0.207832
336,0.409576,-0.709406,0.4086,-0.7097,300,55,299.931,54.9767,-0.0955623,0.210268
337,0.829038,5.14058e-17,0.8268,0.0075,3.55271e-15,56,0.519723,55.7749,-0.19145,0.0367192
338,0.414519,0.717968,0.4162,0.7284,60,56,60.2568,57.0264,-0.100118,-0.125926
339,-0.414519,0.717968,-0.4093,0.7168,120,56,119.727,55.6317,0.0900344,-0.121737
340,-0.829038,-7.24768e-08,-0.8342,-0.0034,180,56,180.234,56.5334,0.177253,0.04114
341,-0.414519,-0.717968,-0.4141,-0.7149,240,56,239.919,55.7075,0.0906143,0.209969
342,0.414519,-0.717968,0.4295,-0.7169,300,56,300.926,56.6901,-0.097681,0.213087
343,0.838671,5.20031e-17,0.8427,0.006,3.55271e-15,57,0.407937,57.4286,-0.195731,0.0355729
344,0.419335,0.72631,0.4199,0.736,60,57,60.2945,57.9252,-0.10131,-0.128262
345,-0.419335,0.72631,-0.419,0.7136,120,57,120.42,55.8446,0.0908357,-0.123392
346,-0.838671,-7.33189e-08,-0.8383,0.0016,180,57,179.891,56.9612,0.179143,0.0406888
347,-0.419335,-0.72631,-0.4134,-0.723,240,57,240.24,56.392,0.0918564,0.213102
348,0.419335,-0.72631,0.4195,-0.7269,300,57,299.99,57.0625,-0.0981448,0.216161
349,0.848048,5.25845e-17,0.8512,0.0053,3.55271e-15,58,0.356748,58.3442,-0.197748,0.0373839
350,0.424024,0.734431,0.4247,0.7415,60,58,60.1977,58.706,-0.102656,-0.129077
351,-0.424024,0.734431,-0.4169,0.7312,120,58,119.69,57.3201,0.0915524,-0.124794
352,-0.848048,-7.41387e-08,-0.8448,-0.0023,180,58,180.156,57.6508,0.180473,0.0414182
353,-0.424024,-0.734431,-0.4288,-0.7294,240,58,239.55,57.7905,0.0930532,0.217179
354,0.424024,-0.734431,0.4164,-0.7371,300,58,299.463,57.8421,-0.0990226,0.219799
355,0.857167,5.315e-17,0.8512,0.0083,3.55271e-15,59,0.55867,58.3468,-0.200801,0.0369897
356,0.428584,0.742329,0.4302,0.7337,60,59,59.6151,58.2685,-0.104124,-0.130778
357,-0.428584,0.742329,-0.4295,0.7316,120,59,120.416,58.0334,0.0929595,-0.125632
358,-0.857167,-7.49359e-08,-0.8505,-0.0066,180,59,180.445,58.2689,0.182372,0.0428173
359,-0.428584,-0.742329,-0.4326,-0.7317,240,59,239.407,58.2134,0.0940152,0.21869
360,0.428584,-0.742329,0.4369,-0.7378,300,59,300.633,59.0321,-0.100756,0.221988
361,0.866025,5.36992e-17,0.8598,-0.0031,3.55271e-15,60,359.793,59.2948,-0.202994,0.0379416
362,0.433013,0.75,0.4354,0.7422,60,60,59.6026,59.3711,-0.106245,-0.131189
363,-0.433013,0.75,-0.4365,0.7261,120,60,121.012,57.9088,0.0943728,-0.127022
364,-0.866025,-7.57103e-08,-0.8566,0.0038,180,60,179.746,58.9379,0.183893,0.0427184
