id,X,Y,x_light,y_light,Extrapolated
83,-0.7971951496913118,-0.4210623005173654,0.1792,0.1536,True
84,-0.8750510720139392,-0.3754985191519633,0.2048,0.1536,True
85,0.8402565679653293,-0.3259422982661528,-0.2048,0.128,True
86,0.7698,-0.35699,-0.1792,0.128,False
87,0.67314,-0.38326,-0.1536,0.128,False
88,0.58015,-0.40265,-0.128,0.128,False
89,0.46946,-0.42173,-0.1024,0.128,False
90,0.35412,-0.43486,-0.0768,0.128,False
91,0.22887,-0.44791,-0.0512,0.128,False
92,0.10934,-0.45547,-0.0256,0.128,False
93,-0.01319,-0.45882,0.0,0.128,False
94,-0.13903,-0.45257,0.0256,0.128,False
95,-0.26422,-0.44456,0.0512,0.128,False
96,-0.38366,-0.43384,0.0768,0.128,False
97,-0.49659,-0.41687,0.1024,0.128,False
98,-0.61047,-0.39709,0.128,0.128,False
99,-0.722,-0.36706,0.1536,0.128,False
100,-0.812532011513555,-0.33317273068110087,0.1792,0.128,True
101,-0.8933107947141359,-0.2933317374777541,0.2048,0.128,True
102,0.853745463530521,-0.2347400717008417,-0.2048,0.1024,True
103,0.77465,-0.266,-0.1792,0.1024,False
104,0.68504,-0.28266,-0.1536,0.1024,False
105,0.58711,-0.29956,-0.128,0.1024,False
106,0.4788,-0.31731,-0.1024,0.1024,False
107,0.35808,-0.32995,-0.0768,0.1024,False
108,0.23594,-0.3402,-0.0512,0.1024,False
109,0.11082,-0.34554,-0.0256,0.1024,False
110,-0.01622,-0.35033,0.0,0.1024,False
111,-0.14531,-0.34675,0.0256,0.1024,False
112,-0.27183,-0.33986,0.0512,0.1024,False
113,-0.39281,-0.32261,0.0768,0.1024,False
114,-0.50453,-0.3106,0.1024,0.1024,False
115,-0.61881,-0.29358,0.128,0.1024,False
116,-0.7257,-0.27171,0.1536,0.1024,False
117,-0.84174,-0.23843,0.1792,0.1024,False
118,-0.9024053141441023,-0.20906975984747245,0.2048,0.1024,True
119,0.8615571430790443,-0.14050332704420676,-0.2048,0.0768,True
120,0.78481,-0.16491,-0.1792,0.0768,False
121,0.69382,-0.17671,-0.1536,0.0768,False
122,0.59579,-0.1916,-0.128,0.0768,False
123,0.48717,-0.20675,-0.1024,0.0768,False
124,0.36767,-0.2162,-0.0768,0.0768,False
125,0.24093,-0.22559,-0.0512,0.0768,False
126,0.11204,-0.22969,-0.0256,0.0768,False
127,-0.0146,-0.22815,0.0,0.0768,False
128,-0.14838,-0.22603,0.0256,0.0768,False
129,-0.27639,-0.21972,0.0512,0.0768,False
130,-0.39828,-0.21164,0.0768,0.0768,False
131,-0.51156,-0.19875,0.1024,0.0768,False
132,-0.62379,-0.18375,0.128,0.0768,False
133,-0.73093,-0.167,0.1536,0.0768,False
134,-0.84145,-0.13886,0.1792,0.0768,False
135,-0.901036009128382,-0.11756927693297017,0.2048,0.0768,True
136,0.8651388757968956,-0.047609902043712064,-0.2048,0.0512,True
137,0.7885,-0.06126,-0.1792,0.0512,False
138,0.69986,-0.07202,-0.1536,0.0512,False
139,0.59755,-0.08042,-0.128,0.0512,False
140,0.48979,-0.08935,-0.1024,0.0512,False
141,0.37374,-0.09649,-0.0768,0.0512,False
142,0.24436,-0.10076,-0.0512,0.0512,False
143,0.11266,-0.10571,-0.0256,0.0512,False
144,-0.01717,-0.10262,0.0,0.0512,False
145,-0.15193,-0.10288,0.0256,0.0512,False
146,-0.28056,-0.09689,0.0512,0.0512,False
147,-0.40505,-0.09247,0.0768,0.0512,False
148,-0.51627,-0.0828,0.1024,0.0512,False
149,-0.626,-0.07162,0.128,0.0512,False
150,-0.73436,-0.05754,0.1536,0.0512,False
151,-0.84131,-0.03825,0.1792,0.0512,False
152,-0.9042445479749749,-0.022082177798511876,0.2048,0.0512,True
153,0.8659631567652732,0.04814871340178706,-0.2048,0.0256,True
154,0.78854,0.0389,-0.1792,0.0256,False
155,0.70205,0.03698,-0.1536,0.0256,False
156,0.60033,0.0314,-0.128,0.0256,False
157,0.49114,0.03095,-0.1024,0.0256,False
158,0.37204,0.02887,-0.0768,0.0256,False
159,0.2431,0.02674,-0.0512,0.0256,False
160,0.11286,0.02517,-0.0256,0.0256,False
161,-0.01705,0.0269,0.0,0.0256,False
162,-0.15251,0.0259,0.0256,0.0256,False
163,-0.28271,0.02795,0.0512,0.0256,False
164,-0.40423,0.03332,0.0768,0.0256,False
165,-0.51717,0.03771,0.1024,0.0256,False
166,-0.62807,0.04318,0.128,0.0256,False
167,-0.73493,0.05128,0.1536,0.0256,False
168,-0.84025,0.06476,0.1792,0.0256,False
169,-0.9034342605958442,0.07415103557476066,0.2048,0.0256,True
170,0.86212158203125,0.1460590362548828,-0.2048,0.0,True
171,0.78023,0.14785,-0.1792,0.0,False
172,0.69362,0.14777,-0.1536,0.0,False
173,0.59575,0.1487,-0.128,0.0,False
174,0.48958,0.15161,-0.1024,0.0,False
175,0.37082,0.15405,-0.0768,0.0,False
176,0.24147,0.15385,-0.0512,0.0,False
177,0.1141,0.15096,-0.0256,0.0,False
178,-0.01663,0.15549,0.0,0.0,False
179,-0.15198,0.15521,0.0256,0.0,False
180,-0.28063,0.15729,0.0512,0.0,False
181,-0.4041,0.15735,0.0768,0.0,False
182,-0.51549,0.15599,0.1024,0.0,False
183,-0.62598,0.15849,0.128,0.0,False
184,-0.73141,0.16011,0.1536,0.0,False
185,-0.8408,0.16962,0.1792,0.0,False
186,-0.9020049856386232,0.17327762572891503,0.2048,0.0,True
187,0.8505981947690983,0.24863162832601532,-0.2048,-0.0256,True
188,0.77172,0.25404,-0.1792,-0.0256,False
189,0.68343,0.26165,-0.1536,-0.0256,False
190,0.58643,0.26563,-0.128,-0.0256,False
191,0.47877,0.27376,-0.1024,-0.0256,False
192,0.36134,0.27924,-0.0768,-0.0256,False
193,0.23584,0.28178,-0.0512,-0.0256,False
194,0.11027,0.28434,-0.0256,-0.0256,False
195,-0.01979,0.28749,0.0,-0.0256,False
196,-0.15225,0.28537,0.0256,-0.0256,False
197,-0.27681,0.28293,0.0512,-0.0256,False
198,-0.3977,0.27741,0.0768,-0.0256,False
199,-0.51053,0.27639,0.1024,-0.0256,False
200,-0.61943,0.27166,0.128,-0.0256,False
201,-0.72458,0.27399,0.1536,-0.0256,False
202,-0.8185697159687203,0.2760428064627249,0.1792,-0.0256,True
203,-0.8950456783819993,0.2739925238778653,0.2048,-0.0256,True
204,0.8345944663187308,0.3534410835523752,-0.2048,-0.0512,True
